,0
0,{}
1,"{'end': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('these', 0.006403917847222534), ('studies', 0.012396429551888574), ('therefore', 0.018731696000046108), ('indicate', 0.004186926800655286), ('a', 0.03556928217724441), ('specific', 0.026687422943141765), ('and', 0.020735905970927667), ('a', 0.02319169215447774), ('regulatory', 0.022165166887181093), ('role', 0.027675587970837957), ('of', 0.011675428499083266), ('the', 0.03656644290839797), ('p', 0.026287935176323177), ('##k', 0.0024004695566065236), ('##cal', 0.031008126239951448), ('##pha', 0.04430631321314926), ('is', 0.03961963646152851), ('##of', 0.02117129978564643), ('##orm', 0.04991210727710154), ('in', -0.02115447846032834), ('three', 0.02221736432281832), ('major', -0.04676399238221822), ('end', 0.11805940005525342), ('##oth', 0.2686542992423538), ('##eli', 0.10187652609675951), ('##al', -0.04298377575940576), ('cell', 0.9304916417383805), ('functions', 0.11470298403071123), ('that', 0.0401922061529834), ('are', -0.03806927485657894), ('important', -0.013865640661962797), ('in', 0.020298093972536103), ('the', 0.011094914981828826), ('maintenance', 0.005049885461451702), ('of', 0.00651061370305717), ('micro', -0.00500045122059503), ('##vas', 0.004784436500297613), ('##cular', 0.026126074981682644), ('home', -0.019496881138016266), ('##ost', 0.005065767069745979), ('##asis', 0.0008070580065200897), ('.', -0.013950173359625216), ('[SEP]', 0.0)]}}"
2,"{'cell': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('this', 0.007183668105475506), ('review', 0.0023989477658581254), ('sum', 0.006865468093707446), ('##mar', 0.009539280908401442), ('##izes', 0.008841112094722601), ('the', 0.006951188549482253), ('current', 0.0092106221049052), ('state', 0.009600875045851961), ('of', 0.014730252261754648), ('the', 0.01943881907016169), ('art', 0.015248013232234087), ('concerning', 0.005812950329419562), ('the', 0.003155108799409411), ('involvement', 0.004138855653887387), ('of', 0.006837168135657693), ('a', 0.0017614337530252938), ('##ber', 0.0056962543767092285), ('##rant', -0.00026241405906676915), ('p', 0.00910078015019294), ('##ten', 0.0009243918008245818), ('function', -0.0008829358484392829), ('in', 0.0053625273842786035), ('the', -0.0007108694365233885), ('development', 0.0034769041169736285), ('of', 0.005125977815763886), ('different', 0.006020058961724888), ('bio', 0.010387029845031969), ('##log', -0.002715170627206496), ('##ic', 0.014175869680755319), ('features', 0.008211497936075021), ('of', 0.006753293571686841), ('ma', 0.00817485807374399), ('##li', 0.008225120076117224), ('##gnant', -0.0004370113115675015), ('g', 0.008911496057664595), ('##lio', 0.028060390425987583), ('##mas', 0.030250485508708017), (',', 0.008556996553871177), ('such', 0.010795831527168676), ('as', 0.018539540507571107), ('loss', 0.0014420436510044665), ('of', 0.017602308107697525), ('cell', 0.06905665405400141), ('-', 0.031068241835801175), ('cycle', 0.023892227446331255), ('control', 0.017350712296313166), ('and', 0.010422052317032478), ('un', 0.02766475054880539), ('##con', 0.005628887220214983), ('##tro', -0.0008863307249811826), ('##lled', -0.010785930610661383), ('cell', 0.9118909180447302), ('proliferation', 0.37620325619638323), (',', 0.09656694874731116), ('escape', 0.04378141492782102), ('from', 0.03840389044113943), ('a', 0.009152829439435045), ('##pop', 0.011863807147836863), ('##tosis', 0.018258921303266545), (',', 0.002044167943287501), ('brain', 0.01079389669618349), ('invasion', 0.00476467860684364), (',', 0.014614431847063809), ('and', 0.006178160622016436), ('a', 0.014306938967895675), ('##ber', 0.012823668455262737), ('##rant', 0.004551862396268545), ('neo', 0.00392387952788355), ('##ang', 0.0018472715813664538), ('##io', -0.001100473425560932), ('##genesis', 0.01819460883150009), ('.', 0.006116210170390406), ('[SEP]', 0.0)]}}"
3,{}
4,{}
5,{}
6,{}
7,{}
8,"{'o': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('in', 0.008466690703394347), ('this', 0.06364304305864764), ('work', 0.057984620097237836), (',', 0.019106865026023295), ('we', 0.060607390170113955), ('show', 0.03328116226128861), ('that', 0.05782227237950817), ('l', 0.041780076697827614), ('##pa', 0.053109952626938114), ('stimulate', 0.06558557349778933), ('##s', 0.046777053606105456), ('invasion', 0.024099068420625428), ('of', 0.04856518384333379), ('primary', 0.03197798531525726), ('o', 0.003576336092610547), ('##var', 0.005791252910030002), ('##ian', -0.004165382268570494), ('cancer', 0.04586799833326967), ('cells', 0.2664575781339676), (',', 0.16257283982631862), ('but', 0.06849209616579346), ('not', 0.2245008525825548), ('o', 0.049812223379894514), ('##var', 0.1461495092340604), ('##ian', 0.27138107343062895), ('e', 0.11564795563581798), ('##pit', 0.11348448021749641), ('##hel', 0.25826512199196305), ('##ial', 0.4938084722161007), ('or', 0.23882618634872052), ('border', 0.03737824674419101), ('##line', 0.18609158449200305), ('o', 0.10129366721231048), ('##var', 0.029621431497501835), ('##ian', 0.008634655655405749), ('tumor', 0.035466009100626805), ('cells', 0.46666061447986196), (',', 0.11638965586988331), ('although', 0.04503210703774943), ('these', 0.026097841123115233), ('ben', -0.01677229330492876), ('##ign', -0.004577051386099668), ('cells', 0.16652361711711608), ('indeed', 0.04069900192496958), ('respond', 0.041146098359011764), ('to', 0.043960604243772336), ('l', 0.03489747120750247), ('##pa', 0.010445410464151808), ('in', 0.04213428596832365), ('cell', 0.014033554549071337), ('migration', 0.04636856101361715), ('.', 0.041274014791941455), ('[SEP]', 0.0)]}, 'border': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('in', 0.011902439939458073), ('this', 0.007805549700345512), ('work', 0.019739949245258105), (',', 0.013772338941582906), ('we', 0.012083455790076381), ('show', 0.01825118271431019), ('that', 0.022306886916946274), ('l', 0.009793423414103332), ('##pa', 0.014683571092203815), ('stimulate', 0.019690007404008697), ('##s', 0.03362828439271238), ('invasion', 0.04542453658727106), ('of', 0.04230571991166226), ('primary', 0.017885709358377088), ('o', -0.013096019436383546), ('##var', -0.0019527497255806363), ('##ian', -0.023327883003689646), ('cancer', 0.01417540870829539), ('cells', 0.09586126990593005), (',', 0.018641693198355812), ('but', 0.0006045871165117002), ('not', 0.08196145494352722), ('o', 0.008815693107658189), ('##var', -0.00622610648475355), ('##ian', 0.0003251938357457695), ('e', 0.019774088473974515), ('##pit', 0.006817945651409141), ('##hel', 0.04675406009535105), ('##ial', 0.09099540760531775), ('or', 0.35209903262120235), ('border', 0.10330270881717366), ('##line', 0.7369034718054283), ('o', 0.1011707787836), ('##var', 0.014408930252190809), ('##ian', 0.04168685222456156), ('tumor', 0.0737984934375143), ('cells', 0.5050403616825758), (',', -0.020860948220715606), ('although', -0.012906119284577402), ('these', 0.07792815447782848), ('ben', 0.023955751720301767), ('##ign', 0.017875281068892912), ('cells', 0.06496603330797267), ('indeed', -0.009445200005195761), ('respond', 0.025802316594239), ('to', 0.016433653274276157), ('l', 0.009361793267250078), ('##pa', -0.019813007738519517), ('in', -0.01788940089795798), ('cell', 0.0053307422157908135), ('migration', 0.0015146543735327744), ('.', -0.005769797889734952), ('[SEP]', 0.0)]}, 'ben': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('in', 0.016266365842559794), ('this', 0.010141364492857708), ('work', -0.0026912000857043324), (',', 0.012632300594796468), ('we', 0.0073799334468939715), ('show', 0.006246963058319605), ('that', 0.021687024509113636), ('l', 0.024733108509531754), ('##pa', 0.015215552650156904), ('stimulate', 0.004572738935404896), ('##s', 0.034409034307391936), ('invasion', 0.02196002460954655), ('of', 0.013439720749435217), ('primary', -0.004694112075345478), ('o', -0.037659973760168435), ('##var', -0.049884008790339836), ('##ian', -0.034701891328949755), ('cancer', -0.02008086016231157), ('cells', 0.03180787750771328), (',', 0.02515712722656654), ('but', 0.007612236679797979), ('not', 0.013594645180614137), ('o', 0.005249332507694069), ('##var', -0.0008185771870556557), ('##ian', -0.0003238002569397789), ('e', 0.0064004841190926426), ('##pit', 0.005370091241607915), ('##hel', 0.013017189531382804), ('##ial', 0.001896624796773428), ('or', -0.012952925611076534), ('border', -0.01937505589761611), ('##line', 0.002898160121836551), ('o', 0.0010856238969796195), ('##var', -0.006812978292463548), ('##ian', -0.019285421909451875), ('tumor', 0.014601715039957297), ('cells', 0.07647715901154462), (',', -0.017440004868710866), ('although', 0.03059728948860414), ('these', 0.06378975195597103), ('ben', 0.03188350332963919), ('##ign', 0.268680670780878), ('cells', 0.9442329504209049), ('indeed', 0.04994432379701068), ('respond', 0.0846197380972072), ('to', 0.019332284232832734), ('l', -0.00048517142034475847), ('##pa', -0.0012887592315542866), ('in', -0.008962234697415373), ('cell', 0.018449442108850446), ('migration', 0.023636800553954035), ('.', 0.019024808754201674), ('[SEP]', 0.0)]}, 'cell': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('in', 0.0031045033576940764), ('this', 0.006371912146493786), ('work', 0.015335877891376025), (',', -0.003513757689883076), ('we', 0.003981616645441056), ('show', 0.0035237993856368803), ('that', 0.024008385062497216), ('l', -0.0017754771886034518), ('##pa', 0.006980588170240034), ('stimulate', 0.025794678493576268), ('##s', 0.008182356569840593), ('invasion', 0.02190701812515915), ('of', 0.00941641726371747), ('primary', 0.028124309131232948), ('o', 0.010729071547130762), ('##var', 0.007729613521195771), ('##ian', 0.016145981874040986), ('cancer', 0.011772314961998768), ('cells', 0.1589989811254264), (',', 0.026852606752268145), ('but', -0.00155768446495885), ('not', 0.00848082976732965), ('o', 0.00593346398014438), ('##var', 0.008228745627375843), ('##ian', 0.005911359297769885), ('e', 0.00830946064110419), ('##pit', 0.007276374242342074), ('##hel', 0.007533981004846881), ('##ial', -0.004983832274074013), ('or', 0.0007993334441457972), ('border', -0.0006647084482038629), ('##line', 7.72845258313236e-05), ('o', 0.010567302686223056), ('##var', 0.011425251747890308), ('##ian', 0.022681999146013754), ('tumor', -0.017897293315494486), ('cells', 0.1438803280476525), (',', 0.026134656000329513), ('although', 0.0008579592563309676), ('these', 0.008907763053886481), ('ben', -0.016120384561511242), ('##ign', -0.020150690959464933), ('cells', 0.16192326016934364), ('indeed', 0.006140095192284724), ('respond', 0.03578804418134352), ('to', 0.025332869888563654), ('l', -0.035425395472644824), ('##pa', -0.059151059200908615), ('in', 0.18953559983652915), ('cell', 0.750233827063394), ('migration', 0.553752070883689), ('.', 0.09167539089559698), ('[SEP]', 0.0)]}, '[SEP]': {'label': 'B-Cell', 'attribution_scores': [('[CLS]', 0.0), ('in', 0.025220491145618362), ('this', 0.0285278618842189), ('work', 0.03816092827466553), (',', 0.013568342182438924), ('we', 0.028335978583236197), ('show', 0.004178681114434164), ('that', 0.042216233472612046), ('l', 0.022527104892096358), ('##pa', 0.04619852240439237), ('stimulate', 0.056903035385915), ('##s', 0.01736745388566216), ('invasion', 0.014147308575550346), ('of', 0.026505923132042572), ('primary', 0.08188876885440433), ('o', -0.00893729936717715), ('##var', -0.020933800299992193), ('##ian', -0.007002912090276452), ('cancer', 0.029253603720758727), ('cells', 0.39038225927433695), (',', 0.05601968782072583), ('but', 0.008055760268696423), ('not', 0.04083089002357832), ('o', 0.03431891216742608), ('##var', 0.0034807809767142825), ('##ian', 0.04854396576726225), ('e', 0.04007578633353658), ('##pit', 0.013957883126899403), ('##hel', 0.13994803865623195), ('##ial', 0.29138585369993314), ('or', 0.12336106441265078), ('border', 0.0215682181847763), ('##line', 0.17567448129019286), ('o', 0.0522090336041515), ('##var', -0.021093172341489736), ('##ian', 0.018992106879119345), ('tumor', 0.04693997475893453), ('cells', 0.6731719113370871), (',', 0.07398530299752704), ('although', 0.010645058920715302), ('these', 0.010260687714037606), ('ben', -0.02687434375620941), ('##ign', 0.016778944251017856), ('cells', 0.3950834605819094), ('indeed', 0.03595027113575485), ('respond', 0.07512975347019285), ('to', 0.0339358016843851), ('l', 0.01651408473137101), ('##pa', 0.012266692102938634), ('in', -0.0024946437247027812), ('cell', 0.16568307523453787), ('migration', 0.08550645722912233), ('.', 0.021912605834725884), ('[SEP]', 0.0)]}}"
9,{}
